,JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
73,10466,65,39,0.6,26,0.4,0,0,65,100,1,0.02,14,0.22,0,0.0,0,0.0,0,0.0,50,0.77,0,0.0,0,0.0,65,100,3,0.05,62,0.95,0,0.0,0,0,65,100,17,0.26,48,0.74,0,0,65,100
74,10467,106,65,0.61,41,0.39,0,0,106,100,0,0.0,51,0.48,1,0.01,4,0.04,1,0.01,47,0.44,2,0.02,0,0.0,106,100,10,0.09,94,0.89,2,0.02,0,0,106,100,33,0.31,73,0.69,0,0,106,100
75,10468,81,46,0.57,35,0.43,0,0,81,100,0,0.0,35,0.43,0,0.0,3,0.04,0,0.0,36,0.44,7,0.09,0,0.0,81,100,2,0.02,79,0.98,0,0.0,0,0,81,100,23,0.28,58,0.72,0,0,81,100
76,10469,10,7,0.7,3,0.3,0,0,10,100,0,0.0,4,0.4,0,0.0,0,0.0,1,0.1,5,0.5,0,0.0,0,0.0,10,100,2,0.2,8,0.8,0,0.0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
77,10471,43,24,0.56,19,0.44,0,0,43,100,0,0.0,27,0.63,0,0.0,1,0.02,2,0.05,12,0.28,1,0.02,0,0.0,43,100,2,0.05,41,0.95,0,0.0,0,0,43,100,17,0.4,26,0.6,0,0,43,100
78,10472,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
79,10473,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
80,10474,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
81,10475,20,12,0.6,8,0.4,0,0,20,100,0,0.0,7,0.35,0,0.0,0,0.0,1,0.05,12,0.6,0,0.0,0,0.0,20,100,2,0.1,18,0.9,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100
82,10514,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
83,10543,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
84,10553,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
85,10573,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
86,10701,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
87,10705,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
88,10911,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
89,10965,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
90,10977,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
91,11001,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
92,11021,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
93,11050,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
94,11101,1,0,0.0,1,1.0,0,0,1,100,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100,0,0.0,1,1.0,0,0.0,0,0,1,100,0,0.0,1,1.0,0,0,1,100
95,11102,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
96,11103,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
97,11104,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
98,11105,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
99,11106,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
100,11111,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
101,11112,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
102,11201,11,6,0.55,5,0.45,0,0,11,100,0,0.0,2,0.18,0,0.0,1,0.09,1,0.09,5,0.45,2,0.18,0,0.0,11,99,0,0.0,11,1.0,0,0.0,0,0,11,100,2,0.18,9,0.82,0,0,11,100
103,11202,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
104,11203,15,12,0.8,3,0.2,0,0,15,100,0,0.0,2,0.13,0,0.0,1,0.07,2,0.13,8,0.53,2,0.13,0,0.0,15,99,1,0.07,14,0.93,0,0.0,0,0,15,100,1,0.07,14,0.93,0,0,15,100
105,11204,37,17,0.46,20,0.54,0,0,37,100,0,0.0,0,0.0,0,0.0,0,0.0,36,0.97,0,0.0,1,0.03,0,0.0,37,100,1,0.03,36,0.97,0,0.0,0,0,37,100,19,0.51,18,0.49,0,0,37,100
106,11205,5,5,1.0,0,0.0,0,0,5,100,0,0.0,0,0.0,0,0.0,0,0.0,4,0.8,0,0.0,1,0.2,0,0.0,5,100,0,0.0,5,1.0,0,0.0,0,0,5,100,3,0.6,2,0.4,0,0,5,100
107,11206,13,3,0.23,10,0.77,0,0,13,100,0,0.0,0,0.0,0,0.0,0,0.0,13,1.0,0,0.0,0,0.0,0,0.0,13,100,0,0.0,13,1.0,0,0.0,0,0,13,100,9,0.69,4,0.31,0,0,13,100
108,11207,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
109,11208,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
110,11209,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
111,11210,36,12,0.33,24,0.67,0,0,36,100,0,0.0,0,0.0,0,0.0,0,0.0,33,0.92,0,0.0,3,0.08,0,0.0,36,100,0,0.0,36,1.0,0,0.0,0,0,36,100,11,0.31,25,0.69,0,0,36,100
112,11211,34,31,0.91,3,0.09,0,0,34,100,0,0.0,2,0.06,0,0.0,1,0.03,28,0.82,1,0.03,2,0.06,0,0.0,34,100,0,0.0,34,1.0,0,0.0,0,0,34,100,22,0.65,12,0.35,0,0,34,100
113,11212,10,8,0.8,2,0.2,0,0,10,100,0,0.0,1,0.1,0,0.0,1,0.1,0,0.0,7,0.7,1,0.1,0,0.0,10,100,1,0.1,9,0.9,0,0.0,0,0,10,100,0,0.0,10,1.0,0,0,10,100
114,11213,38,17,0.45,21,0.55,0,0,38,100,0,0.0,0,0.0,0,0.0,0,0.0,32,0.84,0,0.0,6,0.16,0,0.0,38,100,1,0.03,37,0.97,0,0.0,0,0,38,100,10,0.26,28,0.74,0,0,38,100
115,11214,10,7,0.7,3,0.3,0,0,10,100,0,0.0,0,0.0,0,0.0,5,0.5,4,0.4,1,0.1,0,0.0,0,0.0,10,100,0,0.0,10,1.0,0,0.0,0,0,10,100,2,0.2,8,0.8,0,0,10,100
116,11215,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
117,11216,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
118,11217,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
119,11218,111,97,0.87,14,0.13,0,0,111,100,0,0.0,1,0.01,0,0.0,3,0.03,95,0.86,6,0.05,6,0.05,0,0.0,111,100,8,0.07,102,0.92,1,0.01,0,0,111,100,51,0.46,60,0.54,0,0,111,100
120,11219,214,182,0.85,32,0.15,0,0,214,100,0,0.0,1,0.0,0,0.0,1,0.0,205,0.96,0,0.0,6,0.03,1,0.0,214,99,2,0.01,212,0.99,0,0.0,0,0,214,100,112,0.52,102,0.48,0,0,214,100
121,11220,8,1,0.13,7,0.88,0,0,8,100,0,0.0,0,0.0,0,0.0,1,0.13,6,0.75,0,0.0,1,0.13,0,0.0,8,100,0,0.0,8,1.0,0,0.0,0,0,8,100,5,0.63,3,0.38,0,0,8,100
122,11221,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
123,11222,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
124,11223,109,53,0.49,56,0.51,0,0,109,100,0,0.0,1,0.01,0,0.0,7,0.06,95,0.87,1,0.01,5,0.05,0,0.0,109,100,6,0.06,102,0.94,1,0.01,0,0,109,100,20,0.18,89,0.82,0,0,109,100
125,11224,93,53,0.57,40,0.43,0,0,93,100,0,0.0,14,0.15,0,0.0,7,0.08,4,0.04,60,0.65,8,0.09,0,0.0,93,100,6,0.06,86,0.92,1,0.01,0,0,93,99,28,0.3,65,0.7,0,0,93,100
126,11225,52,52,1.0,0,0.0,0,0,52,100,0,0.0,0,0.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,52,100,0,0.0,52,1.0,0,0.0,0,0,52,100,22,0.42,30,0.58,0,0,52,100
127,11226,10,7,0.7,3,0.3,0,0,10,100,0,0.0,6,0.6,0,0.0,0,0.0,0,0.0,4,0.4,0,0.0,0,0.0,10,100,0,0.0,10,1.0,0,0.0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
128,11228,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
129,11229,52,32,0.62,20,0.38,0,0,52,100,0,0.0,2,0.04,0,0.0,5,0.1,39,0.75,2,0.04,3,0.06,1,0.02,52,100,3,0.06,49,0.94,0,0.0,0,0,52,100,5,0.1,47,0.9,0,0,52,100
130,11230,248,194,0.78,54,0.22,0,0,248,100,0,0.0,1,0.0,0,0.0,7,0.03,216,0.87,2,0.01,17,0.07,5,0.02,248,100,3,0.01,245,0.99,0,0.0,0,0,248,100,42,0.17,206,0.83,0,0,248,100
131,11231,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
132,11232,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
133,11233,14,6,0.43,8,0.57,0,0,14,100,0,0.0,0,0.0,0,0.0,0,0.0,4,0.29,9,0.64,1,0.07,0,0.0,14,100,0,0.0,14,1.0,0,0.0,0,0,14,100,5,0.36,9,0.64,0,0,14,100
134,11234,59,29,0.49,30,0.51,0,0,59,100,0,0.0,8,0.14,0,0.0,0,0.0,37,0.63,10,0.17,4,0.07,0,0.0,59,100,1,0.02,58,0.98,0,0.0,0,0,59,100,2,0.03,57,0.97,0,0,59,100
135,11235,50,17,0.34,33,0.66,0,0,50,100,0,0.0,7,0.14,0,0.0,4,0.08,36,0.72,2,0.04,1,0.02,0,0.0,50,100,1,0.02,48,0.96,1,0.02,0,0,50,100,4,0.08,46,0.92,0,0,50,100
136,11236,7,3,0.43,4,0.57,0,0,7,100,0,0.0,0,0.0,0,0.0,0,0.0,1,0.14,5,0.71,0,0.0,1,0.14,7,99,2,0.29,5,0.71,0,0.0,0,0,7,100,0,0.0,7,1.0,0,0,7,100
137,11237,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
138,11238,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
139,11239,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
140,11252,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
141,11354,2,1,0.5,1,0.5,0,0,2,100,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,2,100,2,1.0,0,0.0,0,0.0,0,0,2,100,0,0.0,2,1.0,0,0,2,100
142,11355,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
143,11356,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
144,11357,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
145,11358,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
146,11360,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
147,11361,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
148,11362,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
149,11364,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
150,11365,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
151,11366,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
152,11367,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
153,11368,5,4,0.8,1,0.2,0,0,5,100,0,0.0,3,0.6,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,5,100,1,0.2,4,0.8,0,0.0,0,0,5,100,0,0.0,5,1.0,0,0,5,100
